This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    72836
Number of nonzeros in inequality constraint Jacobian.:     7800
Number of nonzeros in Lagrangian Hessian.............:    74161

Total number of variables............................:    20847
                     variables with only lower bounds:     3912
                variables with lower and upper bounds:    16935
                     variables with only upper bounds:        0
Total number of equality constraints.................:    16912
Total number of inequality constraints...............:     3900
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:     3900
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 128 2.3966760e-002 9.59e-004 3.68e-005  -5.7 7.05e-001  -5.5 1.00e+000 1.00e+000h  1
 129 2.3967531e-002 1.29e-003 1.42e-005  -5.7 5.95e-001  -5.9 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130 2.3967443e-002 2.43e-004 5.15e-006  -5.7 2.83e-001  -5.5 1.00e+000 1.00e+000h  1
 131 2.3967706e-002 4.06e-004 2.89e-004  -5.7 1.27e+000  -6.0 5.97e-001 2.50e-001h  3
 132 2.3967488e-002 3.71e-006 8.94e-007  -5.7 4.22e-002  -4.7 1.00e+000 1.00e+000h  1
 133 2.1687689e-002 6.45e+001 2.52e-002  -7.0 6.46e-001  -5.1 7.01e-001 7.55e-001h  1
 134 2.0728626e-002 1.06e+001 9.32e-003  -7.0 4.98e-001  -5.6 5.39e-001 6.30e-001h  1
 135 2.0434973e-002 7.41e+000 5.79e-003  -7.0 1.07e+000  -5.2 6.47e-001 3.93e-001h  1
 136 1.9988979e-002 3.09e+000 1.17e-003  -7.0 4.54e-001  -5.7 9.56e-001 8.28e-001h  1
 137 1.9870999e-002 1.99e-002 1.58e-005  -7.0 1.11e-001  -5.3 1.00e+000 1.00e+000h  1
 138 1.9867688e-002 1.40e-002 4.70e-006  -7.0 2.35e-001  -5.7 1.00e+000 1.00e+000h  1
 139 1.9861616e-002 7.08e-003 2.60e-005  -7.0 2.58e+000  -6.2 1.00e+000 1.00e+000H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140 1.9863039e-002 3.89e-003 1.88e-004  -7.0 1.13e+000  -5.8 1.00e+000 3.78e-001h  1
 141 1.9864245e-002 1.96e-003 1.17e-004  -7.0 2.67e-001    -  1.00e+000 5.00e-001f  2
 142 1.9865905e-002 1.60e-003 3.63e-005  -7.0 7.85e-001    -  1.00e+000 1.00e+000h  1
